"","V1","V2","V3","V4","V5","V6","V7"
"1",0.701964044635614,0.243178034686201,0.707879665377989,0.0548014802487009,6.70512442029268e-05,0.536611954170297,0.62959476154097
"2",0.855493442729544,0.514459844836826,0.35644358450864,0.759462175552891,0.0240769382469049,0.0012762515465833,0.18708368046847
"3",0.107474247153412,0.66731254375407,0.0194349465984003,0.420209973267193,0.537146003274749,0.54590881102242,0.670409618854577
"4",0.194774630690164,0.612053680051454,0.0365347427595375,0.475956235583306,0.905174502643546,0.178885505792246,0.704923189502986
"5",0.210911951146681,0.498797413133979,0.768033551865383,0.510604621924489,0.798197313244676,0.337537224086935,0.931076133492214
"6",0.00963206545864223,0.161742944875377,0.0361074621139097,0.00448169813051952,0.70498415801542,0.00906016526894944,0.718082392839156
"7",0.885976509104654,0.50232148675147,0.69882771248129,0.499485538923368,0.764510550925495,0.0403640576901849,0.867241577318969
"8",0.552865521752812,0.249998068781011,0.76974042334498,0.931685765719325,0.742933387476779,0.390741199107416,0.632751443273259
"9",0.809689041955953,0.477627640471552,0.0433093089560048,0.627424652178077,0.0735760752722905,0.0187870642285542,0.553763139705412
"10",0.369449438905823,0.862233420775565,0.346404967756617,0.661115083762213,0.632951624782572,0.331896709986984,0.581166509160357
"11",0.305175524495987,0.211716009467035,0.412600139207158,0.000762702430037427,0.128497310841734,0.142722763611898,0.640078475319033
"12",0.956938406744182,0.329299673007424,0.212967414210715,0.862140854907759,0.434288045719832,0.172483079499755,0.701084566429285
"13",0.762661446351167,0.184101232385373,0.14982828728727,0.642708230860132,0.101845580361643,0.000885350201794591,0.0556991022654948
"14",0.432347554948056,0.692217274160013,0.0939757571193437,0.388741999557272,0.142093862505636,0.00963277786182289,0.547401438437855
"15",0.98732718431495,0.0820879081086962,0.288162541724997,0.028012915632422,0.0421864390112046,0.13843799041569,0.584743254602954
"16",0.463711259822895,0.0168773255995137,0.206667578196253,0.268841636032241,0.102417924975763,0.105826176527532,0.764828696441679
"17",0.342032569693179,0.0490332913759471,0.100268110725556,0.0149437670416128,0.295806377280733,0.130775207491164,0.705705955577849
