"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0.219220700720212,0.524460058531604,0.210170430412093,0.28071968955368,0.309351208356521,0.124719492200169,0.95709481314357,0.866864660136506,0.777662456225317,0.872830524706007,0.677384284847087,0.984761840383723,0.0539692399380929,7.46602958295689e-15,5.12825029437664e-17,1.20753521783228e-31,7.37318676298758e-19,3.46664706369899e-16,0.254670147235702,0.532154933763588,0.665514741381467,0.566379294622981,0.2842872398738,0.143120004081826
0.992863147451112,0.990486626889369,0.989418590918325,0.0235470708417188,0.856156675719482,0.0754940735277973,0.993984971474621,0.9955186369372,0.969484465387768,0.915788849468974,0.980983638476328,0.863044399379085,4.97043997510848e-07,3.73145202627019e-14,3.81219097152979e-18,5.03400316916438e-26,4.82495117099732e-29,7.70047801183106e-05,1,0.990501794684234,1,0.414208650095853,0.944844870210383,0.0368893889391611
0.0951450068810298,0.664162840604175,0.180180331939048,0.399549087298126,0.534398246394738,0.426048973589226,0.790980084197153,0.458295274321204,0.864910647360132,0.730532263684012,0.411752148458739,0.942518636966587,2.41209499016968e-19,0.93056794181957,2.50171691798824e-28,2.36061012181171e-18,4.91555462476183e-34,0.951880406200901,0.553157728564395,0.656903514391148,0.182325508243313,1,0.545056086324928,0.525536514027727
0.124975500922834,0.823846899385136,0.865731631018796,0.0283788495770062,0.487927639284068,0.251400170905234,0.515296553670029,0.663664491158716,0.384915949551341,0.85482466832326,0.972956731479372,0.927937011433163,2.68660562411663e-10,4.4812627563281e-26,3.94309112527054e-13,1.77906612872917e-37,0.318084303396473,5.10936623483337e-16,0.0943544217230151,0.400959527201364,0.941891027152703,0.0284729991939692,0.461491757175872,0.110725757282631
0.399736484757117,0.512195804492443,0.462322933315822,0.936150435873105,0.761789420758533,0.90545345704538,0.631462165132664,0.910474832408143,0.906369760185955,0.68885011673954,0.664991627248521,0.963198851432245,2.05193357951231e-32,4.76240935842084e-18,8.02034886266392e-10,0.979328927459377,1.11188677418018e-18,2.65486892917762e-32,1,0.563362739486258,0.413938862764135,0.897926333293738,0.817464888678704,1
0.763126167433999,0.672857791985932,0.822843993080973,0.790751784433022,0.925477864094504,0.919002072850025,0.992796850445833,0.996954118567127,0.990068133606773,0.904910567845455,0.980975113506653,0.946915011563214,6.34475348931951e-17,5.08013387756964e-26,0.161921874456599,2.14766450328245e-12,2.56241418328058e-10,2.920178903462e-24,0.732760074851054,1,0.821413428701063,0.801473219664862,0.830551477531734,1
0.519744218693148,0.473889270415218,0.706795663448497,0.171679748134957,0.687305668580151,0.0242118619955497,0.84256335928679,0.991175772951722,0.430329652559956,0.972015873015345,0.84911979629021,0.991950317479669,7.1123979478025e-09,8.66727667208656e-12,1.25545970677838e-38,1.10913485313868e-25,1.53287480030087e-22,0.0575737071435032,0.505413529427431,0.506561750794428,1,0.181451842156773,0.655943179851114,0.0510760758373309
0.90793622928321,0.761223356599224,0.593685628433432,0.742716001204685,0.459358181676497,0.792797085659295,0.157330874497835,0.284717284037696,0.0955840924337275,0.985823841184138,0.852994371085529,0.985013434347122,5.42998115468157e-18,4.82400716419645e-21,0.563089156877546,1.74211890806884e-16,0.760927837174665,2.0357889187832e-38,1,0.805461016279006,0.686033779550637,0.589905690277957,0.525856867117666,1
0.153974947619335,0.807696200460352,0.760560141074588,0.835376206486947,0.918097162084936,0.0184885093245454,0.688886476166836,0.647964346834123,0.856762119906119,0.745042683400794,0.853366005253088,0.940650414744739,0.234430025632548,1.08618743153331e-25,3.66841689003965e-29,3.93623374145566e-47,1.36976086511175e-09,2.19557344409529e-11,0.191990867613849,0.79810228670936,0.617405287651638,0.167589469064708,0.975685873147198,0.0243188212618039
0.606048473228744,0.292378341016951,0.13825366052072,0.786508091567455,0.878991417979617,0.942706778218059,0.99005935857899,0.992177811804428,0.981890353273246,0.957109942623835,0.880408531868737,0.9751889009462,4.32678659340117e-16,5.25965194267361e-20,0.0185108324148355,2.25967439478597e-24,0.0908829646780802,6.63032430625555e-29,0.689645725650174,0.377179498260073,0.117363024152541,0.754279070765171,0.899932785433036,1
